Method,Level,Coverage Rate,Lower Miss,Upper Miss,Sample Repeatition,Monte Carlo Repeatition,Bootstrap Repeatition,Distribution
percentile,0.95,0.94,0.03,0.03,250,500,100,chisq(5)
BCa,0.95,0.924,0.036,0.04,250,500,100,chisq(5)
normal,0.99,0.984,0.002,0.014,250,500,100,chisq(5)
basic,0.99,0.972,0.004,0.024,250,500,100,chisq(5)
percentile,0.99,0.964,0.01,0.026,250,500,100,chisq(5)
BCa,0.99,0.974,0.006,0.02,250,500,100,chisq(5)
normal,0.9,0.896,0.044,0.06,250,500,250,chisq(5)
basic,0.9,0.906,0.036,0.058,250,500,250,chisq(5)
percentile,0.9,0.89,0.05,0.06,250,500,250,chisq(5)
BCa,0.9,0.906,0.05,0.044,250,500,250,chisq(5)
normal,0.95,0.938,0.034,0.028,250,500,250,chisq(5)
basic,0.95,0.936,0.032,0.032,250,500,250,chisq(5)
percentile,0.95,0.94,0.018,0.042,250,500,250,chisq(5)
BCa,0.95,0.938,0.032,0.03,250,500,250,chisq(5)
normal,0.99,0.984,0.002,0.014,250,500,250,chisq(5)
basic,0.99,0.974,0.006,0.02,250,500,250,chisq(5)
percentile,0.99,0.982,0.006,0.012,250,500,250,chisq(5)
BCa,0.99,0.968,0.008,0.024,250,500,250,chisq(5)
normal,0.9,0.894,0.038,0.068,250,500,500,chisq(5)
basic,0.9,0.904,0.036,0.06,250,500,500,chisq(5)
percentile,0.9,0.894,0.034,0.072,250,500,500,chisq(5)
BCa,0.9,0.902,0.048,0.05,250,500,500,chisq(5)
normal,0.95,0.95,0.018,0.032,250,500,500,chisq(5)
basic,0.95,0.95,0.018,0.032,250,500,500,chisq(5)
percentile,0.95,0.944,0.02,0.036,250,500,500,chisq(5)
BCa,0.95,0.938,0.034,0.028,250,500,500,chisq(5)
normal,0.99,0.99,0.004,0.006,250,500,500,chisq(5)
basic,0.99,0.984,0.002,0.014,250,500,500,chisq(5)
percentile,0.99,0.974,0.006,0.02,250,500,500,chisq(5)
BCa,0.99,0.976,0.012,0.012,250,500,500,chisq(5)
normal,0.9,0.872,0.066,0.062,250,500,100,chisq(20)
basic,0.9,0.862,0.052,0.086,250,500,100,chisq(20)
percentile,0.9,0.874,0.062,0.064,250,500,100,chisq(20)
BCa,0.9,0.874,0.062,0.064,250,500,100,chisq(20)
normal,0.95,0.944,0.024,0.032,250,500,100,chisq(20)
basic,0.95,0.95,0.022,0.028,250,500,100,chisq(20)
percentile,0.95,0.924,0.034,0.042,250,500,100,chisq(20)
BCa,0.95,0.926,0.036,0.038,250,500,100,chisq(20)
normal,0.99,0.99,0.002,0.008,250,500,100,chisq(20)
basic,0.99,0.97,0.008,0.022,250,500,100,chisq(20)
percentile,0.99,0.972,0.004,0.024,250,500,100,chisq(20)
BCa,0.99,0.968,0.016,0.016,250,500,100,chisq(20)
normal,0.9,0.892,0.052,0.056,250,500,250,chisq(20)
basic,0.9,0.904,0.06,0.036,250,500,250,chisq(20)
percentile,0.9,0.89,0.038,0.072,250,500,250,chisq(20)
BCa,0.9,0.886,0.052,0.062,250,500,250,chisq(20)
normal,0.95,0.936,0.024,0.04,250,500,250,chisq(20)
basic,0.95,0.934,0.026,0.04,250,500,250,chisq(20)
percentile,0.95,0.934,0.032,0.034,250,500,250,chisq(20)
BCa,0.95,0.944,0.034,0.022,250,500,250,chisq(20)
normal,0.99,0.998,0,0.002,250,500,250,chisq(20)
basic,0.99,0.988,0.004,0.008,250,500,250,chisq(20)
percentile,0.99,0.976,0.014,0.01,250,500,250,chisq(20)
BCa,0.99,0.984,0.006,0.01,250,500,250,chisq(20)
normal,0.9,0.868,0.054,0.078,250,500,500,chisq(20)
basic,0.9,0.916,0.044,0.04,250,500,500,chisq(20)
percentile,0.9,0.874,0.068,0.058,250,500,500,chisq(20)
BCa,0.9,0.894,0.058,0.048,250,500,500,chisq(20)
normal,0.95,0.946,0.022,0.032,250,500,500,chisq(20)
basic,0.95,0.952,0.014,0.034,250,500,500,chisq(20)
percentile,0.95,0.934,0.04,0.026,250,500,500,chisq(20)
BCa,0.95,0.926,0.028,0.046,250,500,500,chisq(20)
normal,0.99,0.994,0,0.006,250,500,500,chisq(20)
basic,0.99,0.99,0.002,0.008,250,500,500,chisq(20)
percentile,0.99,0.992,0.004,0.004,250,500,500,chisq(20)
BCa,0.99,0.988,0.01,0.002,250,500,500,chisq(20)
normal,0.9,0.89,0.042,0.068,250,500,100,t(5)
basic,0.9,0.878,0.06,0.062,250,500,100,t(5)
percentile,0.9,0.882,0.052,0.066,250,500,100,t(5)
BCa,0.9,0.862,0.082,0.056,250,500,100,t(5)
normal,0.95,0.934,0.03,0.036,250,500,100,t(5)
basic,0.95,0.948,0.032,0.02,250,500,100,t(5)
percentile,0.95,0.906,0.054,0.04,250,500,100,t(5)
BCa,0.95,0.934,0.03,0.036,250,500,100,t(5)
normal,0.99,0.99,0.006,0.004,250,500,100,t(5)
basic,0.99,0.98,0.008,0.012,250,500,100,t(5)
percentile,0.99,0.978,0.018,0.004,250,500,100,t(5)
BCa,0.99,0.976,0.012,0.012,250,500,100,t(5)
normal,0.9,0.892,0.046,0.062,250,500,250,t(5)
basic,0.9,0.886,0.06,0.054,250,500,250,t(5)
percentile,0.9,0.88,0.058,0.062,250,500,250,t(5)
BCa,0.9,0.88,0.06,0.06,250,500,250,t(5)
normal,0.95,0.944,0.024,0.032,250,500,250,t(5)
basic,0.95,0.944,0.022,0.034,250,500,250,t(5)
percentile,0.95,0.936,0.048,0.016,250,500,250,t(5)
BCa,0.95,0.942,0.03,0.028,250,500,250,t(5)
normal,0.99,0.978,0.008,0.014,250,500,250,t(5)
basic,0.99,0.99,0.008,0.002,250,500,250,t(5)
percentile,0.99,0.99,0.006,0.004,250,500,250,t(5)
BCa,0.99,0.974,0.018,0.008,250,500,250,t(5)
normal,0.9,0.9,0.05,0.05,250,500,500,t(5)
basic,0.9,0.91,0.044,0.046,250,500,500,t(5)
percentile,0.9,0.912,0.038,0.05,250,500,500,t(5)
BCa,0.9,0.888,0.054,0.058,250,500,500,t(5)
normal,0.95,0.946,0.022,0.032,250,500,500,t(5)
basic,0.95,0.954,0.022,0.024,250,500,500,t(5)
percentile,0.95,0.956,0.024,0.02,250,500,500,t(5)
BCa,0.95,0.93,0.034,0.036,250,500,500,t(5)
normal,0.99,0.99,0.006,0.004,250,500,500,t(5)
basic,0.99,0.986,0.008,0.006,250,500,500,t(5)
percentile,0.99,0.99,0.004,0.006,250,500,500,t(5)
BCa,0.99,0.984,0.008,0.008,250,500,500,t(5)
normal,0.9,0.916,0.044,0.04,250,500,100,t(20)
basic,0.9,0.874,0.07,0.056,250,500,100,t(20)
percentile,0.9,0.876,0.062,0.062,250,500,100,t(20)
BCa,0.9,0.87,0.076,0.054,250,500,100,t(20)
normal,0.95,0.922,0.046,0.032,250,500,100,t(20)
basic,0.95,0.946,0.032,0.022,250,500,100,t(20)
percentile,0.95,0.936,0.036,0.028,250,500,100,t(20)
BCa,0.95,0.942,0.036,0.022,250,500,100,t(20)
normal,0.99,0.988,0.01,0.002,250,500,100,t(20)
basic,0.99,0.974,0.018,0.008,250,500,100,t(20)
percentile,0.99,0.956,0.022,0.022,250,500,100,t(20)
BCa,0.99,0.956,0.024,0.02,250,500,100,t(20)
normal,0.9,0.916,0.042,0.042,250,500,250,t(20)
basic,0.9,0.892,0.042,0.066,250,500,250,t(20)
percentile,0.9,0.9,0.042,0.058,250,500,250,t(20)
BCa,0.9,0.898,0.046,0.056,250,500,250,t(20)
normal,0.95,0.972,0.01,0.018,250,500,250,t(20)
basic,0.95,0.942,0.036,0.022,250,500,250,t(20)
percentile,0.95,0.938,0.034,0.028,250,500,250,t(20)
BCa,0.95,0.948,0.03,0.022,250,500,250,t(20)
normal,0.99,0.996,0.002,0.002,250,500,250,t(20)
basic,0.99,0.976,0.01,0.014,250,500,250,t(20)
percentile,0.99,0.986,0.004,0.01,250,500,250,t(20)
BCa,0.99,0.986,0.008,0.006,250,500,250,t(20)
normal,0.9,0.902,0.042,0.056,250,500,500,t(20)
basic,0.9,0.89,0.058,0.052,250,500,500,t(20)
percentile,0.9,0.904,0.044,0.052,250,500,500,t(20)
BCa,0.9,0.884,0.05,0.066,250,500,500,t(20)
normal,0.95,0.946,0.022,0.032,250,500,500,t(20)
basic,0.95,0.954,0.024,0.022,250,500,500,t(20)
percentile,0.95,0.95,0.03,0.02,250,500,500,t(20)
BCa,0.95,0.948,0.026,0.026,250,500,500,t(20)
normal,0.99,0.984,0.008,0.008,250,500,500,t(20)
basic,0.99,0.992,0.002,0.006,250,500,500,t(20)
percentile,0.99,0.994,0.006,0,250,500,500,t(20)
BCa,0.99,0.984,0.008,0.008,250,500,500,t(20)
normal,0.9,0.894,0.038,0.068,250,500,100,"F(5,20)"
basic,0.9,0.87,0.04,0.09,250,500,100,"F(5,20)"
percentile,0.9,0.872,0.058,0.07,250,500,100,"F(5,20)"
BCa,0.9,0.864,0.076,0.06,250,500,100,"F(5,20)"
normal,0.95,0.936,0.018,0.046,250,500,100,"F(5,20)"
basic,0.95,0.91,0.03,0.06,250,500,100,"F(5,20)"
percentile,0.95,0.918,0.032,0.05,250,500,100,"F(5,20)"
BCa,0.95,0.918,0.032,0.05,250,500,100,"F(5,20)"
normal,0.99,0.982,0.002,0.016,250,500,100,"F(5,20)"
basic,0.99,0.95,0.014,0.036,250,500,100,"F(5,20)"
percentile,0.99,0.966,0.012,0.022,250,500,100,"F(5,20)"
BCa,0.99,0.968,0.016,0.016,250,500,100,"F(5,20)"
normal,0.9,0.898,0.034,0.068,250,500,250,"F(5,20)"
basic,0.9,0.89,0.042,0.068,250,500,250,"F(5,20)"
percentile,0.9,0.894,0.042,0.064,250,500,250,"F(5,20)"
BCa,0.9,0.862,0.048,0.09,250,500,250,"F(5,20)"
normal,0.95,0.946,0.016,0.038,250,500,250,"F(5,20)"
basic,0.95,0.932,0.026,0.042,250,500,250,"F(5,20)"
percentile,0.95,0.942,0.024,0.034,250,500,250,"F(5,20)"
BCa,0.95,0.924,0.052,0.024,250,500,250,"F(5,20)"
